,ID,Dept,Number
,6,MATH,312
,6,MATH,322
,6,MATH,340
,6,MATH,342
,6,MATH,308
,6,MATH,320
,6,ARTH,337
,6,CPSC,302
,6,CPSC,310
,6,CPSC,312
,6,CPSC,313
,6,CPSC,320
,6,CPSC,304
,6,CPSC,314
,6,CPSC,420
,6,CPSC,344
,6,CPSC,410
,6,CPSC,424
,6,CPSC,425
,13,CPSC,349
,13,CPSC,302
,13,CPSC,310
,13,CPSC,312
,13,CPSC,313
,13,CPSC,320
,13,CPSC,317
,13,MATH,300
,13,MATH,317
,13,STAT,302
,13,CPSC,449
,13,CPSC,311
,13,CPSC,418
,13,CPSC,421
,13,FNH,330
,13,CPSC,411
,13,CPSC,420
,13,PHIL,489
,65,ARTH,348
,65,MATH,322
,65,ARTH,341
,65,ARTH,344
,65,MATH,300
,65,MATH,317
,65,ARTH,358
,65,ARTH,376
,65,CPSC,310
,65,ARTH,300
,65,CPSC,313
,65,CPSC,317
,65,CPSC,320
,65,ARTH,340
,65,CPSC,322
,65,ARTH,448
,65,CPSC,314
,65,CPSC,418
,65,CPSC,448
,65,ARTH,440
,65,ARTH,459
,65,CPSC,425
,68,CLST,319
,68,CPSC,310
,68,CPSC,320
,68,MATH,307
,68,COMM,335
,68,CPSC,313
,68,CPSC,317
,68,CPSC,319
,68,CPSC,410
,68,CPSC,416
,68,CPSC,314
,68,CPSC,415
,68,CPSC,417
,68,CNPS,362
,68,CNPS,363
,68,CPSC,322
,74,CHIN,481
,74,MATH,340
,74,CHIN,483
,74,CPSC,310
,74,CPSC,322
,74,CHIN,431
,74,CPSC,344
,74,STAT,302
,74,CHIN,433
,74,CPSC,304
,74,CPSC,313
,74,CPSC,425
,74,CPSC,313
,74,CPSC,320
,74,CPSC,430
,74,GERM,433
,74,CPSC,404
,74,FNH,330
,78,EECE,315
,78,EECE,320
,78,EECE,450
,78,APSC,450
,78,EECE,309
,78,EECE,310
,78,EECE,353
,78,EECE,381
,78,CPSC,304
,78,EECE,409
